timestamp,mappedScore,HR,EDA,Score
11.06.2021 21:56:19,0.1508568,100,0.1101101,10
11.06.2021 21:56:29,0.1289248,95,0.1561562,20
11.06.2021 21:56:38,0.1129906,93.33334,0.1781782,30
11.06.2021 21:56:47,0.2205915,90,0.1311311,40
11.06.2021 21:56:55,0.1305003,95,0.1551552,60
11.06.2021 21:57:03,0.1470426,93.33334,0.1561562,80
11.06.2021 21:57:10,0.1790492,100,0.09309309,110
11.06.2021 21:57:17,0.1131703,95,0.1661662,140
11.06.2021 21:57:24,0.1809149,95,0.1231231,170
11.06.2021 21:57:30,0.2076976,95,0.1061061,210
11.06.2021 21:57:36,0.07788834,100,0.1541542,250
11.06.2021 21:57:42,0.09115534,100,0.1461461,290
11.06.2021 21:57:48,0.1558319,100,0.1071071,340
11.06.2021 21:57:53,0.07291321,100,0.1571572,280
11.06.2021 21:57:58,0.1707573,100,0.0980981,330
11.06.2021 21:58:03,0.1856827,100,0.08908909,390
11.06.2021 21:58:08,0.1841902,93.33334,0.1321321,450
11.06.2021 21:58:13,0.2489497,90,0.1121121,400
11.06.2021 21:58:17,0.2790905,85,0.1191191,470
11.06.2021 21:58:23,0.3,80,0.1171171,540
11.06.2021 21:58:27,0.2791573,80,0.1351351,510
Delimiter,Delimiter,Delimiter,Delimiter,Delimiter
11.06.2021 21:59:27,0.2051958,86.66666,0.1301301,10
11.06.2021 21:59:37,0.2060127,90,0.1061061,20
11.06.2021 21:59:46,0.1430233,100,0.09309309,30
11.06.2021 21:59:54,0.1809759,90,0.1271271,50
11.06.2021 22:00:03,0.2178245,86.66666,0.1191191,70
11.06.2021 22:00:10,0.1983073,86.66666,0.1361361,90
11.06.2021 22:00:17,0.2067081,85,0.1411411,120
11.06.2021 22:00:24,0.235984,85,0.1151151,40
11.06.2021 22:00:30,0.09155872,90,0.2022022,80
11.06.2021 22:00:36,0.1261334,90,0.1731732,10
11.06.2021 22:00:42,0.160708,90,0.1441441,50
11.06.2021 22:00:48,0.1627944,85,0.1801802,100
11.06.2021 22:00:53,0.2088608,80,0.1791792,150
11.06.2021 22:00:58,0.2353547,80,0.1541542,200
11.06.2021 22:01:03,0.2289962,80,0.1601602,260
11.06.2021 22:01:08,0.129423,86.66666,0.1961962,210
11.06.2021 22:01:12,0.2044561,85,0.1431431,280
11.06.2021 22:01:18,0.1684243,85,0.1751752,350
Delimiter,Delimiter,Delimiter,Delimiter,Delimiter
11.06.2021 22:02:04,0.189032,90,0.1041041,0
11.06.2021 22:02:14,0.1379439,93.33334,0.1281281,10
11.06.2021 22:02:24,0.2741283,80,0.09009009,20
11.06.2021 22:02:32,0.2322156,80,0.1261261,40
11.06.2021 22:02:40,0.1473304,93.33334,0.1151151,60
11.06.2021 22:02:47,0.2870583,90,0.004004004,80
11.06.2021 22:02:54,0.1752837,90,0.1111111,110
11.06.2021 22:03:01,0.2028211,85,0.1191191,140
11.06.2021 22:03:07,0.2359298,80,0.1221221,180
11.06.2021 22:03:13,0.2457183,73.33334,0.1671672,220
11.06.2021 22:03:19,0.2728688,75,0.1211211,270
11.06.2021 22:03:24,0.2545009,80,0.1021021,320
11.06.2021 22:03:29,0.1470789,90,0.1381381,380
11.06.2021 22:03:34,0.132135,95,0.1181181,440
11.06.2021 22:03:39,0.08701316,100,0.1261261,500
11.06.2021 22:03:44,0.0812097,100,0.1311311,570
11.06.2021 22:03:48,0.1067449,100,0.1091091,640
11.06.2021 22:03:54,0.09862006,100,0.1161161,710
11.06.2021 22:03:59,0.03246067,100,0.1731732,670
11.06.2021 22:04:04,0,100,0.2102102,640
Delimiter,Delimiter,Delimiter,Delimiter,Delimiter
11.06.2021 22:04:53,0.2395681,80,0.1101101,10
11.06.2021 22:05:03,0.2369771,80,0.1131131,20
11.06.2021 22:05:12,0.2412955,80,0.1081081,30
11.06.2021 22:05:20,0.2585695,80,0.08808809,50
11.06.2021 22:05:28,0.2349977,86.66666,0.06806806,70
11.06.2021 22:05:35,0.2259379,85,0.08908909,100
11.06.2021 22:05:42,0.2149258,85,0.1011011,130
11.06.2021 22:05:49,0.2723887,80,0.07207207,170
11.06.2021 22:05:55,0.208502,85,0.1081081,210
11.06.2021 22:06:00,0.2452092,85,0.06806806,250
11.06.2021 22:06:06,0.1854251,90,0.0980981,300
11.06.2021 22:06:11,0.1234278,95,0.1271271,350
11.06.2021 22:06:16,0.1224022,95,0.1281281,410
11.06.2021 22:06:21,0.1101215,100,0.1081081,470
11.06.2021 22:06:26,0.1025641,100,0.1151151,530
11.06.2021 22:06:30,0.1706073,95,0.08108108,600
11.06.2021 22:06:35,0.1039406,95,0.1461461,560
11.06.2021 22:06:40,0.08529015,100,0.1311311,520
11.06.2021 22:06:45,0.09392712,100,0.1231231,590
11.06.2021 22:06:50,0.0145749,106.6667,0.1531532,560
Delimiter,Delimiter,Delimiter,Delimiter,Delimiter
