timestamp,mappedScore,HR,EDA,Score
11.06.2021 23:54:01,0.2093255,80,0.2192192,10
11.06.2021 23:54:11,0.1916329,80,0.2592593,20
11.06.2021 23:54:21,0.2566532,80,0.1121121,30
11.06.2021 23:54:29,0.2194987,80,0.1961962,0
11.06.2021 23:54:37,0.1332473,80,0.3913914,20
11.06.2021 23:54:44,0.1459454,86.66666,0.2962963,50
11.06.2021 23:54:51,0.2519674,85,0.08608609,80
11.06.2021 23:54:58,0.1086297,85,0.3913914,110
11.06.2021 23:55:04,0.1344775,85,0.3363363,40
11.06.2021 23:55:11,0.2482077,85,0.0940941,80
11.06.2021 23:55:16,0.2606616,90,0.03603604,10
11.06.2021 23:55:22,0.2755898,90,0.006006006,60
11.06.2021 23:55:27,0.2435081,85,0.1041041,110
11.06.2021 23:55:32,0.2599889,86.66666,0.05805806,170
Delimiter,Delimiter,Delimiter,Delimiter,Delimiter
11.06.2021 23:56:35,0.1990913,95,0.0960961,10
11.06.2021 23:56:45,0.1478645,95,0.2012012,20
11.06.2021 23:56:54,0.1306648,86.66666,0.3073073,30
11.06.2021 23:57:03,0.2698331,85,0.004004004,50
11.06.2021 23:57:11,0.1956248,85,0.1741742,70
11.06.2021 23:57:18,0.1956462,86.66666,0.1611612,90
11.06.2021 23:57:26,0.04699001,86.66666,0.4954955,10
11.06.2021 23:57:32,0.2441427,80,0.0980981,40
11.06.2021 23:57:39,0.2408559,80,0.1061061,80
11.06.2021 23:57:45,0.2490728,80,0.08608609,120
11.06.2021 23:57:51,0.1993609,80,0.2072072,160
11.06.2021 23:57:56,0.2540028,80,0.07407407,210
11.06.2021 23:58:01,0.2844051,80,0,260
11.06.2021 23:58:06,0.230174,80,0.1321321,320
11.06.2021 23:58:11,0.2507161,80,0.08208209,380
11.06.2021 23:58:16,0.1636177,80,0.2942943,450
11.06.2021 23:58:21,0.2548245,80,0.07207207,520
11.06.2021 23:58:26,0.2778317,80,0.01601602,590
11.06.2021 23:58:31,0.2231897,80,0.1491491,560
11.06.2021 23:58:35,0.1052653,85,0.3813814,530
Delimiter,Delimiter,Delimiter,Delimiter,Delimiter
11.06.2021 23:59:05,0.2532068,90,0.01201201,10
11.06.2021 23:59:15,0.2367475,80,0.1161161,20
11.06.2021 23:59:24,0.2261855,73.33334,0.2002002,30
11.06.2021 23:59:32,0.2359772,73.33334,0.1741742,50
11.06.2021 23:59:40,0.08761198,80,0.4794795,70
11.06.2021 23:59:47,0.2715792,85,0,100
11.06.2021 23:59:54,0.1968959,80,0.2132132,130
12.06.2021 00:00:01,0.2081084,86.66666,0.1331331,160
12.06.2021 00:00:07,0.2361484,86.66666,0.07007007,200
12.06.2021 00:00:13,0.2530614,86.66666,0.03203203,240
12.06.2021 00:00:19,0.2844051,80,0,290
12.06.2021 00:00:24,0.2285307,80,0.1361361,340
12.06.2021 00:00:29,0.2642739,80,0.04904905,400
12.06.2021 00:00:34,0.2437318,80,0.0990991,460
12.06.2021 00:00:38,0.2844051,80,0,530
12.06.2021 00:00:44,0.266739,80,0.04304304,490
12.06.2021 00:00:48,0.2572896,80,0.06606606,450
12.06.2021 00:00:53,0.2708474,80,0.03303303,530
12.06.2021 00:00:56,0.2844051,80,0,610
12.06.2021 00:01:00,0.2844051,80,0,590
12.06.2021 00:01:03,0.2844051,80,0,680
12.06.2021 00:01:07,0.1895007,80,0.2312312,780
Delimiter,Delimiter,Delimiter,Delimiter,Delimiter
12.06.2021 00:01:44,0.2655235,86.66666,0.004004004,10
12.06.2021 00:01:53,0.2513581,90,0.01601602,20
12.06.2021 00:02:02,0.2388188,86.66666,0.06406406,30
12.06.2021 00:02:11,0.2760471,75,0.05505506,50
12.06.2021 00:02:18,0.1301512,73.33334,0.4554555,70
12.06.2021 00:02:26,0.2038802,80,0.1961962,0
12.06.2021 00:02:33,0.2370941,85,0.07907908,30
12.06.2021 00:02:39,0.1750956,90,0.1811812,70
12.06.2021 00:02:45,0.1459772,90,0.2442442,110
12.06.2021 00:02:51,0.1371312,95,0.2232232,40
12.06.2021 00:02:57,0.1907974,95,0.1131131,90
12.06.2021 00:03:02,0.124622,93.33334,0.2622623,140
12.06.2021 00:03:08,0.1648844,93.33334,0.1781782,190
12.06.2021 00:03:13,0.2673039,86.66666,0,250
12.06.2021 00:03:17,0.2715792,85,0,310
12.06.2021 00:03:22,0.08256634,85,0.4334334,380
12.06.2021 00:03:26,0.2314066,80,0.1291291,340
12.06.2021 00:03:32,0.160485,86.66666,0.2402402,410
Delimiter,Delimiter,Delimiter,Delimiter,Delimiter
