timestamp,mappedScore,HR,EDA,Score
11.06.2021 20:45:39,0.1790369,85,0.05305305,10
11.06.2021 20:45:49,0.2440291,73.33334,0.08408409,20
11.06.2021 20:45:58,0.2252596,70,0.1291291,30
11.06.2021 20:46:06,0.2445135,73.33334,0.07707708,50
11.06.2021 20:46:14,0.2384183,80,0.03403403,70
11.06.2021 20:46:21,0,85,0.2002002,100
11.06.2021 20:46:28,0.078264,85,0.1361361,130
11.06.2021 20:46:35,0.1262798,80,0.1341341,160
11.06.2021 20:46:42,0.1539024,80,0.1101101,190
11.06.2021 20:46:48,0.1964872,80,0.07307307,230
11.06.2021 20:46:54,0.1723175,80,0.0940941,270
11.06.2021 20:47:00,0.1964872,80,0.07307307,320
11.06.2021 20:47:05,0.06758182,80,0.1851852,370
11.06.2021 20:47:10,0.1458458,80,0.1171171,420
11.06.2021 20:47:15,0.1757703,80,0.09109109,480
11.06.2021 20:47:20,0.1930344,80,0.07607608,540
11.06.2021 20:47:25,0.08139312,80,0.1731732,600
11.06.2021 20:47:30,0.1602805,86.66666,0.05805806,670
11.06.2021 20:47:34,0.07786836,90,0.1011011,740
11.06.2021 20:47:39,0.003237022,95,0.1241241,810
11.06.2021 20:47:45,0.04697279,95,0.09209209,770
11.06.2021 20:47:50,0,93.33334,0.1661662,740
11.06.2021 20:47:55,0.1218717,86.66666,0.1071071,820
11.06.2021 20:48:00,0.1847005,80,0.0960961,790
11.06.2021 20:48:05,0.2224743,80,0.05905906,880
11.06.2021 20:48:09,0.1673449,80,0.1131131,970
11.06.2021 20:48:13,0.2173697,80,0.06406406,1060
Delimiter,Delimiter,Delimiter,Delimiter,Delimiter
11.06.2021 20:48:44,0.1867423,80,0.0940941,10
11.06.2021 20:48:54,0.1989933,80,0.08208209,20
11.06.2021 20:49:03,0.202056,80,0.07907908,30
11.06.2021 20:49:12,0.1397802,80,0.1401401,50
11.06.2021 20:49:20,0.2231974,73.33334,0.1091091,70
11.06.2021 20:49:27,0.216955,75,0.1021021,90
11.06.2021 20:49:34,0.2131266,75,0.1061061,120
