timestamp,mappedScore,HR,EDA,Score
12.06.2021 00:09:26,0.2700669,86.66666,0.2702703,10
12.06.2021 00:09:36,0.2384859,80,0.4004004,20
12.06.2021 00:09:45,0.3,80,0.2262262,30
12.06.2021 00:09:53,0.2683478,85,0.2502503,0
12.06.2021 00:10:01,0.1648604,85,0.4684685,20
12.06.2021 00:10:08,0.1911883,86.66666,0.3953954,50
12.06.2021 00:10:15,0.2187775,86.66666,0.3383383,80
12.06.2021 00:10:21,0.2415265,86.66666,0.2912913,120
12.06.2021 00:10:27,0.2270059,86.66666,0.3213213,160
12.06.2021 00:10:33,0.1589265,93.33334,0.3933934,90
12.06.2021 00:10:39,0.1813404,93.33334,0.3503504,30
12.06.2021 00:10:44,0.1453739,93.33334,0.4194194,80
12.06.2021 00:10:49,0.07793205,95,0.5305305,140
12.06.2021 00:10:54,0.3,90,0.07207207,200
Delimiter,Delimiter,Delimiter,Delimiter,Delimiter
12.06.2021 00:11:33,0.2146928,80,0.3013013,10
12.06.2021 00:11:43,0.1862571,80,0.3803804,20
12.06.2021 00:11:52,0.273364,80,0.1381381,30
12.06.2021 00:12:00,0.1113995,85,0.5245245,50
12.06.2021 00:12:08,0.1470079,86.66666,0.4134134,70
12.06.2021 00:12:16,0.2671099,86.66666,0.1051051,90
12.06.2021 00:12:23,0.1768985,80,0.4064064,10
12.06.2021 00:12:30,0.2182923,80,0.2912913,40
12.06.2021 00:12:36,0.2442084,80,0.2192192,80
12.06.2021 00:12:42,0.2125331,80,0.3073073,120
12.06.2021 00:12:48,0.2690446,80,0.1501502,170
12.06.2021 00:12:53,0.2571664,80,0.1831832,220
12.06.2021 00:12:58,0.2701245,80,0.1471471,160
12.06.2021 00:13:03,0.2359146,86.66666,0.1851852,220
12.06.2021 00:13:08,0.1798905,90,0.2982983,170
Delimiter,Delimiter,Delimiter,Delimiter,Delimiter
12.06.2021 00:13:47,0.2684737,80,0.1141141,10
12.06.2021 00:13:57,0.1975394,80,0.3213213,20
12.06.2021 00:14:06,0.1886298,80,0.3473473,0
12.06.2021 00:14:14,0.1440817,80,0.4774775,20
12.06.2021 00:14:22,0.2160583,86.66666,0.2082082,40
12.06.2021 00:14:30,0.243319,85,0.1471471,70
12.06.2021 00:14:37,0.2793644,85,0.04804805,100
12.06.2021 00:14:43,0.2294084,80,0.2282282,130
12.06.2021 00:14:50,0.2472276,80,0.1761762,170
12.06.2021 00:14:55,0.2102185,80,0.2842843,210
12.06.2021 00:15:01,0.1656704,80,0.4144144,260
12.06.2021 00:15:06,0.2890343,80,0.05405406,200
12.06.2021 00:15:11,0.2593392,85,0.1031031,260
12.06.2021 00:15:16,0.2372186,86.66666,0.1511512,320
12.06.2021 00:15:21,0.2374328,93.33334,0.1041041,380
12.06.2021 00:15:25,0.1704893,90,0.3003003,450
12.06.2021 00:15:31,0.2830589,90,0.008008008,410
Delimiter,Delimiter,Delimiter,Delimiter,Delimiter
12.06.2021 00:16:15,0.1858884,80,0.3553554,10
12.06.2021 00:16:24,0.1971967,80,0.3223223,20
12.06.2021 00:16:34,0.1471658,80,0.4684685,30
12.06.2021 00:16:42,0.2265617,80,0.2282282,50
12.06.2021 00:16:50,0.2405606,73.33334,0.2172172,70
12.06.2021 00:16:58,0.2970715,66.66666,0.08008008,90
12.06.2021 00:17:05,0.2938215,66.66666,0.09209209,120
12.06.2021 00:17:11,0.1881767,75,0.3733734,150
12.06.2021 00:17:17,0.1714286,80,0.3703704,190
12.06.2021 00:17:23,0.2039294,80,0.2702703,230
12.06.2021 00:17:29,0.1590782,80,0.4084084,280
12.06.2021 00:17:34,0.2182298,80,0.2262262,330
12.06.2021 00:17:39,0.2322052,80,0.1831832,380
12.06.2021 00:17:44,0.2338302,80,0.1781782,440
12.06.2021 00:17:49,0.2429305,80,0.1501502,500
12.06.2021 00:17:54,0.2484556,80,0.1331331,570
12.06.2021 00:17:59,0.2663311,80,0.07807808,530
12.06.2021 00:18:04,0.2715313,80,0.06206206,500
12.06.2021 00:18:08,0.259831,80,0.0980981,470
Delimiter,Delimiter,Delimiter,Delimiter,Delimiter
