timestamp,mappedScore,HR,EDA,Score
11.06.2021 00:23:34,0.279859,86.66666,0,10
11.06.2021 00:23:44,0.1336116,90,0.2942943,20
11.06.2021 00:23:53,0.09607696,93.33334,0.3433433,30
11.06.2021 00:24:02,0.1766669,90,0.2022022,50
11.06.2021 00:24:10,0.2447596,80,0.1261261,70
11.06.2021 00:24:17,0.279859,86.66666,0,90
11.06.2021 00:24:24,0.1920196,95,0.1341341,120
11.06.2021 00:24:31,0.1949835,95,0.1281281,150
11.06.2021 00:24:37,0.2155102,90,0.1191191,190
11.06.2021 00:24:43,0.2361018,90,0.07507508,230
11.06.2021 00:24:49,0.2002094,85,0.1901902,280
11.06.2021 00:24:55,0.2464236,80,0.1221221,330
11.06.2021 00:25:00,0.2476716,80,0.1191191,380
11.06.2021 00:25:05,0.2584354,73.33334,0.1471471,440
11.06.2021 00:25:09,0.208655,86.66666,0.1581582,500
11.06.2021 00:25:14,0.1989485,100,0.08908909,570
11.06.2021 00:25:18,0.1198449,125,0.09309309,640
11.06.2021 00:25:23,0.09619829,140,0.06206206,600
11.06.2021 00:25:27,0.111876,130,0.08208209,570
11.06.2021 00:25:31,0.1549442,125,0.03903904,540
11.06.2021 00:25:35,0.1539693,120,0.06306306,620
Delimiter,Delimiter,Delimiter,Delimiter,Delimiter
11.06.2021 00:26:34,0.2158655,86.66666,0.1421421,10
11.06.2021 00:26:44,0.2448507,85,0.08908909,20
11.06.2021 00:26:53,0.2742951,80,0.05505506,30
11.06.2021 00:27:02,0.3,70,0.05905906,50
11.06.2021 00:27:09,0.3,73.33334,0.03103103,70
11.06.2021 00:27:16,0.2648751,73.33334,0.09009009,100
11.06.2021 00:27:23,0.2616305,73.33334,0.0990991,130
11.06.2021 00:27:29,0.2699222,73.33334,0.07607608,170
11.06.2021 00:27:35,0.2530274,80,0.07107107,100
11.06.2021 00:27:41,0.2329701,80,0.1221221,40
11.06.2021 00:27:46,0.2604998,80,0.05205205,90
11.06.2021 00:27:51,0.2707251,80,0.02602603,40
11.06.2021 00:27:56,0.2542073,80,0.06806806,100
11.06.2021 00:28:01,0.2151864,85,0.1281281,170
11.06.2021 00:28:05,0.2424252,86.66666,0.05205205,240
11.06.2021 00:28:09,0.1891684,86.66666,0.1771772,310
11.06.2021 00:28:13,0.2298115,85,0.09309309,390
Delimiter,Delimiter,Delimiter,Delimiter,Delimiter
11.06.2021 00:29:01,0.22229,85,0.1111111,10
11.06.2021 00:29:11,0.2215649,80,0.1511512,20
11.06.2021 00:29:20,0.2416223,80,0.1001001,30
11.06.2021 00:29:28,0.2396559,80,0.1051051,50
11.06.2021 00:29:36,0.2506678,80,0.07707708,70
11.06.2021 00:29:43,0.2360795,85,0.07807808,100
11.06.2021 00:29:50,0.1604465,85,0.2592593,130
11.06.2021 00:29:57,0.2369152,85,0.07607608,160
11.06.2021 00:30:03,0.2459484,80,0.08908909,90
11.06.2021 00:30:09,0.1995412,80,0.2072072,130
11.06.2021 00:30:14,0.2089799,80,0.1831832,180
11.06.2021 00:30:19,0.1708316,80,0.2802803,230
11.06.2021 00:30:25,0.2022941,80,0.2002002,290
11.06.2021 00:30:29,0.2081934,80,0.1851852,350
11.06.2021 00:30:34,0.2809504,80,0,410
11.06.2021 00:30:39,0.2380828,80,0.1091091,480
11.06.2021 00:30:43,0.2490332,85,0.04704705,440
11.06.2021 00:30:47,0.1418763,86.66666,0.2882883,410
11.06.2021 00:30:51,0.1674396,86.66666,0.2282282,490
11.06.2021 00:30:55,0.1227038,100,0.2222222,570
11.06.2021 00:30:59,0.156739,106.6667,0.1121121,660
11.06.2021 00:31:03,0.1542892,110,0.0980981,750
11.06.2021 00:31:06,0.122925,110,0.1561562,840
Delimiter,Delimiter,Delimiter,Delimiter,Delimiter
11.06.2021 00:31:52,0.2215485,86.66666,0.1011011,10
11.06.2021 00:32:02,0.2223269,90,0.07707708,20
11.06.2021 00:32:11,0.2138796,86.66666,0.1191191,30
11.06.2021 00:32:20,0.2349365,80,0.1171171,0
11.06.2021 00:32:27,0.2666776,73.33334,0.08508509,20
11.06.2021 00:32:35,0.2881278,66.66666,0.07807808,50
11.06.2021 00:32:42,0.2543712,66.66666,0.1811812,80
